unique_game_id,DATE,Home Team,Away Team,HOME_PRIOR_WIN_V_OPP,AWAY_PRIOR_WIN_V_OPP,HOME_IP_AVAIL,AWAY_IP_AVAIL,Home Odds Close,Away Odds Close,Home Relative Age Diff,Home All Stars,Away All Stars,Away Underdog,Underdog Win,Home FG,Home FGA,Home FG%,Home 3P,Home 3PA,Home 3P%,Home FT,Home FTA,Home FT%,Home ORB,Home DRB,Home TRB,Home AST,Home STL,Home BLK,Home TOV,Home PF,Home PTS,Home TS%,Home eFG%,Home 3PAr,Home FTr,Home ORB%,Home DRB%,Home TRB%,Home AST%,Home STL%,Home BLK%,Home TOV%,Home ORtg,Home DRtg,Away FG,Away FGA,Away FG%,Away 3P,Away 3PA,Away 3P%,Away FT,Away FTA,Away FT%,Away ORB,Away DRB,Away TRB,Away AST,Away STL,Away BLK,Away TOV,Away PF,Away PTS,Away TS%,Away eFG%,Away 3PAr,Away FTr,Away ORB%,Away DRB%,Away TRB%,Away AST%,Away STL%,Away BLK%,Away TOV%,Away ORtg,Away DRtg,index,HOME_CUM_WIN_PCT,AWAY_CUM_WIN_PCT,HOME_ROLL_WIN_PCT,AWAY_ROLL_WIN_PCT
2019-10-22_Los Angeles Clippers_Los Angeles Lakers,2019-10-22,Los Angeles Clippers,Los Angeles Lakers,0.0,0.0,0.7142857142857142,0.8571428571428573,2.3800000000000003,1.6071428571428572,-1.0,2.0,2.0,0.0,1.0,42.0,81.0,0.519,11.0,31.0,0.3550000000000001,17.0,24.0,0.7080000000000001,11.0,34.0,45.0,24.0,8.0,5.0,14.0,25.0,112.0,0.612,0.5860000000000001,0.383,0.2960000000000001,25.600000000000005,79.09999999999998,52.29999999999998,57.1,8.400000000000002,9.599999999999998,13.300000000000004,117.5,107.0,37.0,85.0,0.4349999999999999,13.0,33.0,0.39399999999999996,15.0,21.0,0.7140000000000003,9.0,32.0,41.0,20.0,4.0,7.0,14.0,24.0,102.0,0.5410000000000001,0.5120000000000002,0.38799999999999996,0.24699999999999994,20.899999999999995,74.40000000000002,47.70000000000002,54.10000000000001,4.200000000000001,14.0,12.900000000000002,107.0,117.5,1.0,0.5,0.5,0.5,0.5
2019-10-22_Toronto Raptors_New Orleans Pelicans,2019-10-22,Toronto Raptors,New Orleans Pelicans,0.0,0.0,1.0,0.8571428571428573,1.3538095238095242,3.26,1.0,1.0,0.0,1.0,0.0,42.0,103.0,0.40800000000000014,14.0,40.0,0.3499999999999999,32.0,38.0,0.8420000000000003,16.0,41.0,57.0,23.0,7.0,3.0,16.0,24.0,130.0,0.5429999999999998,0.4760000000000002,0.38799999999999996,0.3689999999999999,30.200000000000006,71.90000000000002,51.79999999999998,54.79999999999998,6.200000000000002,5.299999999999999,11.800000000000004,115.2,108.09999999999997,43.0,102.0,0.42200000000000004,19.0,45.0,0.42200000000000004,17.0,20.0,0.8499999999999999,16.0,37.0,53.0,30.0,4.0,9.0,19.0,34.0,122.0,0.551,0.515,0.441,0.19600000000000006,28.10000000000001,69.79999999999998,48.20000000000002,69.79999999999998,3.5,14.300000000000004,14.6,108.09999999999997,115.2,0.0,0.5,0.5,0.5,0.5
2019-10-23_Brooklyn Nets_Minnesota Timberwolves,2019-10-23,Brooklyn Nets,Minnesota Timberwolves,0.0,0.0,1.0,0.4285714285714287,1.6271428571428568,2.326190476190476,3.0,0.0,1.0,1.0,1.0,48.0,101.0,0.4749999999999998,15.0,34.0,0.441,15.0,26.0,0.5770000000000001,10.0,38.0,48.0,19.0,8.0,9.0,16.0,30.0,126.0,0.5600000000000003,0.5500000000000002,0.337,0.25699999999999995,20.0,76.0,48.0,39.60000000000001,6.900000000000002,13.800000000000004,12.5,108.5,109.29999999999998,46.0,108.0,0.4260000000000001,13.0,43.0,0.3019999999999999,22.0,28.0,0.7859999999999997,12.0,40.0,52.0,23.0,9.0,4.0,13.0,22.0,127.0,0.5280000000000002,0.486,0.3979999999999999,0.2590000000000001,24.0,80.0,52.0,50.0,7.699999999999998,6.0,9.800000000000002,109.29999999999998,108.5,13.0,0.5,0.5,0.5,0.5
2019-10-23_Charlotte Hornets_Chicago Bulls,2019-10-23,Charlotte Hornets,Chicago Bulls,0.0,0.0,0.7142857142857142,0.8571428571428573,2.387142857142857,1.6047619047619048,0.0,0.0,0.0,0.0,1.0,45.0,88.0,0.5109999999999998,23.0,44.0,0.5229999999999999,13.0,16.0,0.8130000000000002,9.0,32.0,41.0,28.0,3.0,4.0,19.0,18.0,126.0,0.6629999999999999,0.6419999999999999,0.5,0.182,23.699999999999992,61.5,45.600000000000016,62.20000000000002,3.0,5.299999999999999,16.699999999999996,124.0,123.0,49.0,105.0,0.4669999999999999,9.0,30.0,0.29999999999999993,18.0,22.0,0.8179999999999998,20.0,29.0,49.0,25.0,11.0,4.0,10.0,20.0,125.0,0.545,0.5099999999999999,0.2859999999999999,0.21,38.5,76.29999999999998,54.39999999999999,51.0,10.800000000000004,9.099999999999998,8.0,123.0,124.0,5.0,0.5,0.5,0.5,0.5
2019-10-23_Dallas Mavericks_Washington Wizards,2019-10-23,Dallas Mavericks,Washington Wizards,0.0,0.0,1.0,0.7142857142857142,1.2276190476190476,4.343333333333334,3.0,1.0,1.0,1.0,0.0,35.0,76.0,0.4610000000000001,11.0,36.0,0.306,27.0,33.0,0.8179999999999998,5.0,41.0,46.0,17.0,6.0,5.0,19.0,22.0,108.0,0.5969999999999998,0.5329999999999997,0.4740000000000001,0.4340000000000001,12.199999999999998,78.79999999999998,49.5,48.600000000000016,5.799999999999998,9.599999999999998,17.300000000000004,104.20000000000002,96.40000000000003,37.0,93.0,0.3979999999999999,11.0,41.0,0.2679999999999999,15.0,18.0,0.833,11.0,36.0,47.0,26.0,6.0,3.0,17.0,32.0,100.0,0.4949999999999999,0.4570000000000001,0.441,0.19399999999999998,21.2,87.79999999999997,50.5,70.29999999999998,5.799999999999998,7.5,14.4,96.40000000000003,104.20000000000002,9.0,0.5,0.5,0.5,0.5
2019-10-23_Indiana Pacers_Detroit Pistons,2019-10-23,Indiana Pacers,Detroit Pistons,0.0,0.0,1.0,0.8571428571428573,1.3242857142857143,3.4404761904761907,1.0,1.0,0.0,1.0,1.0,41.0,89.0,0.4610000000000001,8.0,21.0,0.3810000000000001,20.0,24.0,0.833,10.0,26.0,36.0,26.0,8.0,6.0,15.0,28.0,110.0,0.5519999999999998,0.5060000000000001,0.236,0.2699999999999999,22.199999999999992,72.20000000000002,44.399999999999984,63.40000000000001,8.0,11.099999999999996,13.099999999999998,109.79999999999998,118.8,41.0,78.0,0.5259999999999999,11.0,24.0,0.4580000000000001,26.0,33.0,0.7879999999999999,10.0,35.0,45.0,26.0,5.0,6.0,18.0,21.0,119.0,0.6430000000000001,0.596,0.30799999999999994,0.4229999999999999,27.800000000000004,77.79999999999998,55.60000000000001,63.40000000000001,5.0,8.800000000000002,16.300000000000004,118.8,109.79999999999998,4.0,0.5,0.5,0.5,0.5
2019-10-23_Miami Heat_Memphis Grizzlies,2019-10-23,Miami Heat,Memphis Grizzlies,0.0,0.0,0.7142857142857142,0.8571428571428573,1.3476190476190475,3.293333333333333,-0.5,2.0,0.0,1.0,0.0,40.0,85.0,0.47100000000000003,7.0,18.0,0.3890000000000001,33.0,39.0,0.8459999999999999,11.0,40.0,51.0,18.0,9.0,8.0,21.0,33.0,120.0,0.5870000000000001,0.5120000000000002,0.21200000000000005,0.4589999999999998,26.2,81.59999999999998,56.0,45.0,8.0,14.0,17.100000000000005,107.20000000000002,90.20000000000003,38.0,89.0,0.4270000000000002,5.0,32.0,0.15600000000000006,20.0,30.0,0.6669999999999999,9.0,31.0,40.0,22.0,9.0,7.0,24.0,31.0,101.0,0.4939999999999999,0.455,0.3600000000000001,0.337,18.399999999999995,73.79999999999998,44.0,57.90000000000001,8.0,10.400000000000002,19.0,90.20000000000003,107.20000000000002,12.0,0.5,0.5,0.5,0.5
2019-10-23_Orlando Magic_Cleveland Cavaliers,2019-10-23,Orlando Magic,Cleveland Cavaliers,0.0,0.0,1.0,0.8571428571428573,1.1895238095238094,4.860952380952382,3.0,1.0,0.0,1.0,0.0,37.0,86.0,0.4299999999999999,9.0,30.0,0.29999999999999993,11.0,19.0,0.5790000000000001,7.0,39.0,46.0,24.0,12.0,4.0,13.0,18.0,94.0,0.498,0.483,0.3490000000000001,0.22100000000000006,13.699999999999996,79.59999999999998,46.0,64.90000000000002,12.199999999999998,7.400000000000002,12.099999999999996,95.20000000000003,86.09999999999997,33.0,88.0,0.375,9.0,34.0,0.265,10.0,15.0,0.6669999999999999,10.0,44.0,54.0,20.0,8.0,2.0,16.0,15.0,85.0,0.449,0.4260000000000001,0.3860000000000001,0.16999999999999996,20.399999999999995,86.29999999999997,54.0,60.6,8.099999999999998,3.6,14.5,86.09999999999997,95.20000000000003,15.0,0.5,0.5,0.5,0.5
2019-10-23_Philadelphia 76ers_Boston Celtics,2019-10-23,Philadelphia 76ers,Boston Celtics,0.0,0.0,1.0,1.0,1.4066666666666665,2.9961904761904763,0.0,2.0,2.0,1.0,0.0,37.0,85.0,0.4349999999999999,7.0,29.0,0.24100000000000002,26.0,36.0,0.7219999999999998,12.0,50.0,62.0,24.0,6.0,7.0,15.0,34.0,107.0,0.531,0.4760000000000002,0.3410000000000001,0.4240000000000001,27.89999999999999,83.29999999999998,60.20000000000002,64.90000000000002,5.900000000000002,10.900000000000004,12.900000000000002,105.20000000000002,91.40000000000003,33.0,90.0,0.3670000000000001,7.0,26.0,0.26899999999999996,20.0,34.0,0.5879999999999997,10.0,31.0,41.0,18.0,4.0,2.0,10.0,29.0,93.0,0.4429999999999998,0.4059999999999999,0.2889999999999999,0.3780000000000001,16.699999999999996,72.09999999999998,39.79999999999999,54.5,3.9,3.6,8.699999999999998,91.40000000000003,105.20000000000002,11.0,0.5,0.5,0.5,0.5
2019-10-23_Phoenix Suns_Sacramento Kings,2019-10-23,Phoenix Suns,Sacramento Kings,0.0,0.0,0.8571428571428573,0.8571428571428573,1.8895238095238096,1.946190476190476,-3.0,1.0,0.0,1.0,0.0,49.0,98.0,0.5,11.0,33.0,0.3330000000000001,15.0,18.0,0.833,9.0,35.0,44.0,31.0,13.0,9.0,14.0,25.0,124.0,0.5850000000000002,0.5560000000000003,0.337,0.18400000000000005,20.5,74.5,48.399999999999984,63.29999999999998,12.0,15.5,11.699999999999996,114.09999999999997,87.40000000000003,34.0,87.0,0.391,10.0,29.0,0.34499999999999986,17.0,26.0,0.654,12.0,35.0,47.0,17.0,5.0,5.0,26.0,24.0,95.0,0.483,0.4480000000000002,0.3330000000000001,0.2990000000000001,25.5,79.5,51.60000000000001,50.0,4.599999999999999,7.699999999999998,20.899999999999995,87.40000000000003,114.09999999999997,8.0,0.5,0.5,0.5,0.5
